dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.051,2.8256,-0.1682,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8161,-0.2447,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8067,-0.1831,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8039,-0.0182,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8098,0.1376,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8198,0.191,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8277,0.1269,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8307,0.0045,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8275,-0.1051,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8209,-0.142,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8158,-0.0927,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8149,0.0058,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8186,0.0888,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8243,0.1017,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8281,0.0502,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8282,-0.0205,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8252,-0.0708,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8218,-0.0685,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.82,-0.0214,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8212,0.0328,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8241,0.0563,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8264,0.0383,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.827,-0.0041,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0383,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8238,-0.04,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8229,-0.0158,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8233,0.0145,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8248,0.0263,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8261,0.0179,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8263,-0.001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.0175,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8248,-0.0203,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8245,-0.0013,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.825,0.0099,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.0109,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8263,0.0062,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8263,-0.005,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,-0.0097,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8255,-0.0047,0.0,0.0019,0.0,ident_20250910_062016.csv
0.052,2.8254,0.0002,0.0,0.0019,0.0,ident_20250910_062016.csv
0.05,2.8258,0.0078,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.826,0.0054,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8261,-0.0039,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,-0.0073,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0037,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0013,0.0,0.0019,0.0,ident_20250910_062016.csv
